Benchmark,Heap Size,CPU Frequency (MHz),Time Elapsed Mean (ms),DRAM Joules Mean,CPU Joules Mean,Package Joules Mean,Elapsed Time CI 95% Low,Elapsed Time CI 95% High,DRAM Joules CI 95% Low,DRAM Joules CI 95% High,CPU Joules CI 95% Low,CPU Joules CI 95% High,Package Joules CI 95% Low,Package Joules CI 95% High,EDP Mean,EDP CI 95% Low,EDP CI 95% High,EDP2 Mean,EDP2 CI 95% Low,EDP2 CI 95% High
avrora,10m,1.2GHz,4460.4,1.3030457,5.1904359,10.602703799999997,4292.570000000001,4642.8325,1.2423949875,1.3764911325,4.977636795,5.415450739999999,10.20588929,11.0430816175,47.4958500679,43.837976030557506,51.45205468911999,508.08385159382715,447.24463305329533,577.2759649090054
avrora,10m,1.6GHz,3351.2,0.9880006,5.133679299999999,9.205615300000002,3289.3700000000003,3405.2075,0.9641745724999999,1.0082282125,5.040903025000001,5.228179925000001,9.0310133775,9.3604964725,30.875628745500006,29.694230540965005,31.8703599705075,284.71985491741935,269.8441919149087,299.2510126774422
avrora,10m,2.0GHz,2678.9,0.8043457,6.1102845,9.3731873,2651.6000000000004,2711.6025,0.7913666975,0.8196801425000001,6.03131496,6.205308407499999,9.259851659999999,9.5058818425,25.119585612999998,24.551593627832503,25.772795025649994,235.6518055962781,227.49049978379009,245.39377614130225
avrora,10m,2.4GHz,2281.0,0.7053284,7.4332274,10.2340089,2214.1875,2368.5150000000003,0.6703492,0.7453688425,7.176081572499999,7.7225828625,9.876963625,10.633723062500001,23.419059749499997,21.9016749142125,25.3644204852875,241.33197713966956,217.9257433742489,270.5094158698592
avrora,10m,2.7GHz,1985.8,0.6038452000000001,8.1781984,10.6122069,1930.2875,2036.9025000000001,0.5781768024999999,0.6267217575,7.93330485,8.404927425,10.304900349999997,10.895176375,21.116752482499997,19.850385577902497,22.157843538315003,225.02716778726364,207.36804465411979,242.97613601452133
avrora,10m,400MHz,13323.3,3.8043212999999994,7.2052122,23.3695435,13084.7575,13556.055,3.7337089199999998,3.8801733675000003,7.056501515000001,7.3511235775,22.9751341275,23.800966629999998,311.6232986275,300.7472784097074,322.5721368559574,7295.01326043554,6896.355844031432,7694.179324559127
avrora,10m,800MHz,6711.5,1.9310606,5.386828700000001,13.504150199999998,6518.264999999999,6892.3525,1.8664658825000002,1.9952624924999998,5.2254376675000005,5.5403013224999995,13.156815634999997,13.889595272499998,90.82157723149999,85.7965293729625,95.76751452947,1231.5697624702345,1125.1592171409225,1329.5100387614737
avrora,15m,1.2GHz,4545.8,1.3352294,5.303777900000001,10.8234984,4456.0825,4651.6050000000005,1.2961273974999998,1.3843318475,5.170894015,5.45161853,10.578236985,11.142594379999997,49.273934155899994,47.24865806979749,51.96002263680501,535.0077295740518,499.505673386186,583.083493195286
avrora,15m,1.6GHz,3352.4,0.9810121,5.1269104,9.197046,3288.285,3413.8225,0.95662142,1.0046864925,5.018348550000001,5.22424423,9.0047545475,9.3736132975,30.8638214844,29.6294850893425,32.04832320169,284.438446131133,267.5861040252388,299.8978766037737
avrora,15m,2.0GHz,2652.2,0.7893736,6.0716432000000005,9.299969599999999,2587.675,2711.4049999999997,0.7641850525,0.8133061699999999,5.911105595,6.2212402025,9.060690594999999,9.5121922725,24.705159979199998,23.488824900045,25.789733175389998,230.52619001341608,213.09244066716514,247.0546220399282
