Benchmark,Heap Size,CPU Frequency (MHz),Time Elapsed Mean (ms),DRAM Joules Mean,CPU Joules Mean,Package Joules Mean,Elapsed Time CI 95% Low,Elapsed Time CI 95% High,DRAM Joules CI 95% Low,DRAM Joules CI 95% High,CPU Joules CI 95% Low,CPU Joules CI 95% High,Package Joules CI 95% Low,Package Joules CI 95% High,EDP Mean,EDP CI 95% Low,EDP CI 95% High,EDP2 Mean,EDP2 CI 95% Low,EDP2 CI 95% High
avrora,10m,1.2GHz,8631.3,3.8580994000000004,9.7049135,22.7075805,8476.205,8827.3575,3.7521798574999994,4.0045145625,9.5345773975,9.942047585,22.1908067475,23.3150871625,196.2744176121,188.9707845005125,207.10250385868247,4471.1999323587215,4193.507696450898,4848.714026412306
avrora,10m,1.6GHz,6319.9,3.0297669,9.414361600000001,19.1926391,6249.28,6394.455,2.9914121875,3.073517615,9.312148925,9.532747340000002,18.964574882500003,19.4267046425,121.3416838839,118.48308926815501,124.56733477064002,2330.6817721888924,2248.514961487746,2418.664727662249
avrora,10m,2.0GHz,5022.8,2.6355345,11.035016100000002,19.0233093,4984.3,5063.4,2.6103692974999997,2.663204495,10.943645884999999,11.1318244675,18.8710389975,19.1866930925,95.56619023200001,93.99974693246251,97.09541831419251,1818.6166432569485,1776.3902944477256,1865.2236744334418
avrora,10m,2.4GHz,4183.8,2.0743715,13.1095213,19.2127197,4140.8949999999995,4236.535,2.0510372924999998,2.1035983025000005,12.979455484999999,13.294983959999998,19.0290411075,19.451765635,80.41072637250002,78.66847312921001,82.61846945228,1546.041402298207,1497.818922272466,1605.714549478109
avrora,10m,2.7GHz,3707.8,1.9292907,14.732250800000003,20.210852,3674.295,3744.6,1.9117368475,1.9509226675000002,14.570457315,14.893718815000001,20.02210546,20.4323714325,74.9567614104,73.58041885024498,76.552477576255,1515.7618524333734,1471.759575687521,1565.1098817557445
avrora,10m,400MHz,25574.9,8.550946000000001,14.135449100000002,47.994457999999995,25220.585,26008.287500000002,8.134358462500002,8.99907444,13.460868967500002,15.362133852500001,46.568151930000006,49.90818455750001,1228.96687346,1177.8560365823523,1299.5961155247326,59243.09677619798,54920.77090695909,65393.63626219667
avrora,10m,800MHz,12977.8,5.2914002,10.234491100000001,28.766644299999996,12824.375,13185.77,5.216929615000001,5.39596815,10.115486555000002,10.3945832675,28.436279842499992,29.206885727499998,373.5103890789,365.0718726912125,385.0782592693475,10755.470736301655,10378.433682838815,11275.455112677046
avrora,15m,1.2GHz,8221.3,3.0938721,9.2511902,19.9373537,8167.9,8280.710000000001,3.0740524275000003,3.11711673,9.1870088475,9.325442915,19.8125137625,20.071487852500002,163.9301940997,161.82525002044997,166.16739540666998,3269.1091756727974,3207.6903656427917,3340.0301256565535
avrora,15m,1.6GHz,6175.3,2.6603392,9.8332701,18.4686402,6123.7875,6224.8175,2.5108927725,2.9297817999999998,9.148393729999999,11.108239519999998,17.6560609,19.900600125000004,114.164529585,107.9966793767475,124.44565070960749,2138.087705542762,1907.3276040192884,2536.4946429013744
avrora,15m,2.0GHz,4891.9,2.2404173999999997,10.8252504,17.825000199999998,4842.495,4947.3025,2.2188214774999997,2.2678151724999998,10.741245712500001,10.9241889625,17.6862752775,17.981751524999996,87.21939505610001,85.54409414743749,88.93548682007248,1555.3927455385399,1511.4365391346307,1604.8301680135658
